name,location,cuisines,michelin_stars,average_price
Restaurant Moor Hall,"Prescot Road, Aughton, Lancashire, L39 6RT",British,Two,Over £80
The Waterside Inn,"Ferry Road, Maidenhead, Berkshire, SL6 2AT",French,Three,Over £80
L'Enclume,"Cavendish Street, Cartmel, Grange-Over-Sands, Cumbria, LA11 6PZ",British,Two,Over £80
Belmond Le Manoir aux Quat'Saisons,"Church Road, Great Milton, Oxfordshire, OX44 7PD",French,Two,Over £80
Casamia,"The General, Bristol, Bristol, BS1 6FU",Modern European,One,£50 - £79
The Sportsman,"Faversham Road, Seasalter, Kent, CT5 4BP",British,One,£50 - £79
The Fat Duck,"1 High Street, Bray, Berkshire, SL6 2AQ",British,Three,Over £80
The Hand and Flowers,"126 West Street, Marlow, Buckinghamshire, SL7 2BP",British,Two,Over £80
Fordwich Arms,"King Street, Fordwich, Kent, CT2 0DB",British,None,£50 - £79
Restaurant Sat Bains with Rooms,"Lenton Lane, Nottingham, Nottinghamshire, NG7 2SA",Modern European,Two,Over £80
The Dining Room at Whatley Manor,"Easton Grey, Malmesbury, Wiltshire, SN16 0RB",Modern European,Two,Over £80
The Artichoke,"9 Market Square, Old Amersham, Buckinghamshire, HP7 0DF",Modern European,None,£50 - £79
Ynyshir,"Eglwysfach , Powys, SY20 8TA",British,One,Over £80
The Coach,"3 West Street, Marlow, Buckinghamshire, SL7 2LS",Pubs,One,£30 - £49
Midsummer House,"Midsummer House, Midsummer Common, Cambridge, Cambridgeshire, CB4 1HA",British,None,£50 - £79
The Woodspeen,"Lambourn Road, Woodspeen, Bermont, Berkshire, RG20 8BN",British,One,£50 - £79
64 Degrees,"53 Meeting House Lane, Brighton, East Sussex, BN1 1HB",Modern European,None,£30 - £49
The Black Swan at Oldstead,"Oldstead, North Yorkshire, YO61 4BL",British,One,Over £80
Hrishi and Gilpin Spice,"Crook Road, Windermere, Cumbria, LA23 3NE",Pan-Asian,One,£50 - £79
Northcote,"Northcote Road, Blackburn, Lancashire, BB6 8BE",British,One,Over £80
Rogan & Co,"Devonshire Square, Cartmel, Cumbria, LA11 6QD",Modern European,One,£30 - £49
Paul Ainsworth at No. 6,"6 Middle Street, Padstow, Cornwall, PL28 8AP",Modern European,One,£50 - £79
The Cross at Kenilworth,"16 New Street, Kenilworth, Warwickshire, CV8 2EZ",Gastropub,None,£30 - £49
Roots York,"68 Marygate, York, North Yorkshire, YO30 7BH",One Michelin star,One,British
Adam Reid at The French,"The Midland Hotel, 16 Peter Street, Manchester, Greater Manchester, M60 2DS",British,None,Over £80
The Crown at Burchetts Green,"Burchetts Green Road, Burchetts Green, Maidenhead, Berkshire, SL6 6QZ",British,None,£30 - £49
Outlaw's Fish Kitchen,"1 Middle Street, Port Isaac, Cornwall, PL29 3RH",Fish,None,£30 - £49
The Man Behind The Curtain,"68-78 Vicar Lane, Leeds, West Yorkshire, LS1 7JH",International,One,Over £80
Morston Hall,"Morston, Holt, Norfolk, NR25 7AA",Modern European,None,Over £80
